id,name,unit,price,category_name,supplier_name,supplier_phone,order_date,customer_name,customer_phone,shipper_name,shipper_phone,employee_name
1,"Queso Cabrales","1 kg pkg.",21,"Dairy Products","Cooperativa de Quesos Las Cabras","(98) 598 76 54",1996-07-04,"Wilman Kala","Matti Karttunen","Federal Shipping","(503) 555-9931","Steven Buchanan"
2,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,Grains/Cereals,"Leka Trading",555-8787,1996-07-04,"Wilman Kala","Matti Karttunen","Federal Shipping","(503) 555-9931","Steven Buchanan"
3,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-07-04,"Wilman Kala","Matti Karttunen","Federal Shipping","(503) 555-9931","Steven Buchanan"
4,Tofu,"40 - 100 g pkgs.",23.25,Produce,Mayumis,"(06) 431-7877",1996-07-05,"Tradicao Hipermercados","Anabela Domingues","Speedy Express","(503) 555-9831","Michael Suyama"
5,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Gday, Mate","(02) 555-5914",1996-07-05,"Tradicao Hipermercados","Anabela Domingues","Speedy Express","(503) 555-9831","Michael Suyama"
6,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-07-08,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Margaret Peacock"
7,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Gday, Mate","(02) 555-5914",1996-07-08,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Margaret Peacock"
8,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-07-08,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Margaret Peacock"
9,"Gustafs Knackebrod","24 - 500 g pkgs.",21,Grains/Cereals,"PB Knackebrod AB","031-987 65 43",1996-07-08,"Victuailles en stock","Mary Saveley","Speedy Express","(503) 555-9831","Janet Leverling"
10,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-07-08,"Victuailles en stock","Mary Saveley","Speedy Express","(503) 555-9831","Janet Leverling"
11,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-07-08,"Victuailles en stock","Mary Saveley","Speedy Express","(503) 555-9831","Janet Leverling"
12,"Sir Rodneys Marmalade","30 gift boxes",81,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-07-09,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
13,Geitost,"500 g",2.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-07-09,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
14,"Camembert Pierrot","15 - 300 g rounds",34,"Dairy Products","Gai paturage",38.76.98.06,1996-07-09,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
15,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-07-10,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Janet Leverling"
16,"Chartreuse verte","750 cc per bottle",18,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-07-10,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Janet Leverling"
17,Maxilaku,"24 - 50 g pkgs.",20,Confections,"Karkki Oy","(953) 10956",1996-07-10,"Hanari Carnes","Mario Pontes","United Package","(503) 555-3199","Janet Leverling"
18,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-07-11,"Chop-suey Chinese","Yang Wang","United Package","(503) 555-3199","Steven Buchanan"
19,"Pate chinois","24 boxes x 2 pies",24,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-07-11,"Chop-suey Chinese","Yang Wang","United Package","(503) 555-3199","Steven Buchanan"
20,"Longlife Tofu","5 kg pkg.",10,Produce,"Tokyo Traders","(03) 3555-5011",1996-07-11,"Chop-suey Chinese","Yang Wang","United Package","(503) 555-3199","Steven Buchanan"
21,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-07-12,"Richter Supermarkt","Michael Holz","Federal Shipping","(503) 555-9931","Anne Dodsworth"
22,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-07-12,"Richter Supermarkt","Michael Holz","Federal Shipping","(503) 555-9931","Anne Dodsworth"
23,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-07-12,"Richter Supermarkt","Michael Holz","Federal Shipping","(503) 555-9931","Anne Dodsworth"
24,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-07-12,"Richter Supermarkt","Michael Holz","Federal Shipping","(503) 555-9931","Anne Dodsworth"
25,"Perth Pasties","48 pieces",32.8,Meat/Poultry,"Gday, Mate","(02) 555-5914",1996-07-15,"Wellington Importadora","Paula Parente","United Package","(503) 555-3199","Janet Leverling"
26,"Original Frankfurter grune Sosse","12 boxes",13,Condiments,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-07-15,"Wellington Importadora","Paula Parente","United Package","(503) 555-3199","Janet Leverling"
